DateTime;UpDn;Depth;SPMax
2021-03-09 14:45:45.767;Dn;0.001;430.2
2021-03-09 14:45:52.269;Dn;0.001;430.63
2021-03-09 14:45:53.066;Dn;0.002;429.8
2021-03-09 14:45:53.273;Dn;0.014;425.17
2021-03-09 14:45:53.406;Dn;0.023;422.1
2021-03-09 14:45:53.572;Dn;0.031;419.07
2021-03-09 14:45:53.736;Dn;0.039;416.03
2021-03-09 14:45:53.923;Dn;0.044;414.13
2021-03-09 14:45:53.962;Dn;0.047;413
2021-03-09 14:45:54.079;Dn;0.055;409.9
2021-03-09 14:45:54.250;Dn;0.063;406.87
2021-03-09 14:45:54.409;Dn;0.071;403.83
2021-03-09 14:45:54.587;Dn;0.080;400.47
2021-03-09 14:45:54.730;Dn;0.084;398.97
2021-03-09 14:45:54.762;Dn;0.088;397.43
2021-03-09 14:45:54.903;Dn;0.097;394.33
2021-03-09 14:45:55.095;Dn;0.105;391.13
2021-03-09 14:45:55.273;Dn;0.113;388.1
2021-03-09 14:45:55.450;Dn;0.122;385.03
2021-03-09 14:45:55.548;Dn;0.122;384.77
2021-03-09 14:45:55.659;Dn;0.130;381.93
2021-03-09 14:45:55.817;Dn;0.138;378.9
2021-03-09 14:45:55.963;Dn;0.146;375.87
2021-03-09 14:45:56.129;Dn;0.155;372.6
2021-03-09 14:45:56.345;Dn;0.162;369.83
2021-03-09 14:45:56.372;Dn;0.165;368.83
2021-03-09 14:45:56.488;Dn;0.173;365.73
2021-03-09 14:45:56.649;Dn;0.181;362.63
2021-03-09 14:45:56.826;Dn;0.190;359.43
2021-03-09 14:45:57.000;Dn;0.198;356.27
2021-03-09 14:45:57.181;Dn;0.203;354.53
2021-03-09 14:45:57.211;Dn;0.207;353.13
2021-03-09 14:45:57.338;Dn;0.215;350.07
2021-03-09 14:45:57.519;Dn;0.223;347.03
2021-03-09 14:45:57.674;Dn;0.231;343.93
2021-03-09 14:45:57.865;Dn;0.239;340.87
2021-03-09 14:45:57.932;Dn;0.242;339.93
2021-03-09 14:45:58.020;Dn;0.248;337.63
2021-03-09 14:45:58.197;Dn;0.256;334.5
2021-03-09 14:45:58.367;Dn;0.265;331.13
2021-03-09 14:45:58.554;Dn;0.274;327.93
2021-03-09 14:45:58.777;Dn;0.280;325.57
2021-03-09 14:45:58.809;Dn;0.282;324.87
2021-03-09 14:45:58.969;Dn;0.291;321.67
2021-03-09 14:45:59.194;Dn;0.300;318.3
2021-03-09 14:45:59.386;Dn;0.308;315.2
2021-03-09 14:45:59.610;Dn;0.313;313.3
2021-03-09 14:45:59.630;Dn;0.316;312.17
2021-03-09 14:45:59.823;Dn;0.324;309.1
2021-03-09 14:46:00.040;Dn;0.333;305.93
2021-03-09 14:46:00.271;Dn;0.341;302.73
2021-03-09 14:46:00.413;Dn;0.343;301.83
2021-03-09 14:46:01.113;Dn;0.354;298.07
2021-03-09 14:46:01.179;Dn;0.373;290.93
2021-03-09 14:46:01.304;Dn;0.378;288.73
2021-03-09 14:46:01.511;Dn;0.387;285.63
2021-03-09 14:46:01.738;Dn;0.395;282.47
2021-03-09 14:46:02.030;Dn;0.403;279.7
2021-03-09 14:46:02.079;Dn;0.403;279.43
2021-03-09 14:46:02.233;Dn;0.412;276.3
2021-03-09 14:46:02.470;Dn;0.420;273.13
2021-03-09 14:46:02.714;Dn;0.428;270.1
2021-03-09 14:46:02.839;Dn;0.430;269.3
2021-03-09 14:46:02.937;Dn;0.436;267.03
2021-03-09 14:46:03.176;Dn;0.444;263.97
2021-03-09 14:46:03.427;Dn;0.453;260.93
2021-03-09 14:46:03.624;Dn;0.457;259.1
2021-03-09 14:46:03.707;Dn;0.461;257.83
2021-03-09 14:46:03.961;Dn;0.469;254.7
2021-03-09 14:46:04.157;Dn;0.477;251.67
2021-03-09 14:46:04.432;Dn;0.485;248.9
2021-03-09 14:46:04.493;Dn;0.486;248.27
2021-03-09 14:46:04.658;Dn;0.495;245.17
2021-03-09 14:46:04.909;Dn;0.503;242.13
2021-03-09 14:46:05.146;Dn;0.511;239.03
2021-03-09 14:46:05.274;Dn;0.513;238.43
2021-03-09 14:46:05.418;Dn;0.519;235.93
2021-03-09 14:46:05.672;Dn;0.528;232.83
2021-03-09 14:46:05.912;Dn;0.536;229.8
2021-03-09 14:46:06.109;Dn;0.539;228.47
2021-03-09 14:46:06.143;Dn;0.544;226.67
2021-03-09 14:46:06.395;Dn;0.552;223.47
2021-03-09 14:46:06.649;Dn;0.561;220.23
2021-03-09 14:46:06.873;Dn;0.567;218.2
2021-03-09 14:46:06.924;Dn;0.569;217.17
2021-03-09 14:46:07.199;Dn;0.578;214.07
2021-03-09 14:46:07.466;Dn;0.586;211
2021-03-09 14:46:07.689;Dn;0.590;209.23
2021-03-09 14:46:07.751;Dn;0.594;207.93
2021-03-09 14:46:08.017;Dn;0.602;204.8
2021-03-09 14:46:08.317;Dn;0.610;201.77
2021-03-09 14:46:08.505;Dn;0.614;200.3
2021-03-09 14:46:09.210;Dn;0.634;192.87
2021-03-09 14:46:09.304;Dn;0.635;192.4
2021-03-09 14:46:09.514;Dn;0.643;189.7
2021-03-09 14:46:09.914;Dn;0.651;186.5
2021-03-09 14:46:58.047;Dn;0.653;696.47
2021-03-09 14:46:58.271;Dn;0.658;639.53
2021-03-09 14:46:58.698;Dn;0.666;636.4
2021-03-09 14:46:58.786;Dn;0.667;635.87
2021-03-09 14:46:58.985;Dn;0.674;633.33
2021-03-09 14:46:59.384;Dn;0.683;630.13
2021-03-09 14:46:59.626;Dn;0.687;628.5
2021-03-09 14:46:59.690;Dn;0.691;627.03
2021-03-09 14:47:00.056;Dn;0.699;624
2021-03-09 14:47:00.450;Dn;0.707;621
2021-03-09 14:47:00.805;Dn;0.715;617.87
2021-03-09 14:47:01.162;Dn;0.724;614.83
2021-03-09 14:47:01.241;Dn;0.725;614.4
2021-03-09 14:47:01.485;Dn;0.732;611.77
2021-03-09 14:47:01.896;Dn;0.740;608.63
2021-03-09 14:47:02.077;Dn;0.743;607.73
2021-03-09 14:47:02.329;Dn;0.748;605.53
2021-03-09 14:47:02.713;Dn;0.756;602.5
2021-03-09 14:47:02.872;Dn;0.759;601.73
2021-03-09 14:47:03.064;Dn;0.765;599.43
2021-03-09 14:47:03.289;Dn;0.773;596.33
2021-03-09 14:47:03.610;Dn;0.781;593.17
2021-03-09 14:47:03.722;Dn;0.784;592.2
2021-03-09 14:47:03.929;Dn;0.790;589.87
2021-03-09 14:47:04.249;Dn;0.798;586.77
2021-03-09 14:47:04.467;Dn;0.804;584.6
2021-03-09 14:47:04.551;Dn;0.807;583.57
2021-03-09 14:47:04.810;Dn;0.815;580.43
2021-03-09 14:47:05.001;Dn;0.824;577.17
2021-03-09 14:47:05.305;Dn;0.828;575.63
2021-03-09 14:47:05.993;Dn;0.843;569.9
2021-03-09 14:47:06.120;Dn;0.856;565.07
2021-03-09 14:47:06.187;Dn;0.863;562.57
2021-03-09 14:47:06.430;Dn;0.871;559.4
2021-03-09 14:47:06.575;Dn;0.880;556.37
2021-03-09 14:47:06.891;Dn;0.888;553.63
2021-03-09 14:47:07.034;Dn;0.896;550.03
2021-03-09 14:47:07.356;Dn;0.905;546.97
2021-03-09 14:47:07.515;Dn;0.913;543.93
2021-03-09 14:47:07.753;Dn;0.916;542.83
2021-03-09 14:47:07.753;Dn;0.922;540.57
2021-03-09 14:47:07.945;Dn;0.930;537.37
2021-03-09 14:47:08.179;Dn;0.938;534.27
2021-03-09 14:47:08.394;Dn;0.947;531.13
2021-03-09 14:47:08.570;Dn;0.947;530.93
2021-03-09 14:47:08.633;Dn;0.955;528.07
2021-03-09 14:47:08.880;Dn;0.963;524.97
2021-03-09 14:47:09.128;Dn;0.971;521.93
2021-03-09 14:47:09.370;Dn;0.978;519.63
2021-03-09 14:47:09.371;Dn;0.980;518.83
2021-03-09 14:47:09.544;Dn;0.988;515.8
2021-03-09 14:47:09.768;Dn;0.996;512.6
2021-03-09 14:47:09.995;Dn;1.006;509.13
2021-03-09 14:47:10.138;Dn;1.009;507.73
2021-03-09 14:47:10.264;Dn;1.014;506.1
2021-03-09 14:47:10.483;Dn;1.022;503.03
2021-03-09 14:47:10.793;Dn;1.031;499.47
2021-03-09 14:47:10.985;Dn;1.038;497.1
2021-03-09 14:47:11.039;Dn;1.040;496.3
2021-03-09 14:47:11.258;Dn;1.049;492.83
2021-03-09 14:47:11.485;Dn;1.059;489.27
2021-03-09 14:47:11.722;Dn;1.067;486.23
2021-03-09 14:47:11.826;Dn;1.067;486.03
2021-03-09 14:47:12.072;Dn;1.075;482.97
2021-03-09 14:47:12.298;Dn;1.084;479.87
2021-03-09 14:47:12.553;Dn;1.092;476.73
2021-03-09 14:47:12.643;Dn;1.094;475.9
2021-03-09 14:47:12.665;Dn;1.100;473.7
2021-03-09 14:47:12.904;Dn;1.108;470.6
2021-03-09 14:47:13.130;Dn;1.117;467.23
2021-03-09 14:47:13.389;Dn;1.123;465.27
2021-03-09 14:47:14.092;Dn;1.131;462
2021-03-09 14:47:14.253;Dn;1.152;454.13
2021-03-09 14:47:14.254;Dn;1.158;452.07
2021-03-09 14:47:14.475;Dn;1.166;449
2021-03-09 14:47:14.729;Dn;1.176;445.27
2021-03-09 14:47:14.962;Dn;1.184;442.13
2021-03-09 14:47:15.049;Dn;1.186;441.37
2021-03-09 14:47:15.210;Dn;1.194;438.63
2021-03-09 14:47:15.450;Dn;1.202;435.57
2021-03-09 14:47:15.705;Dn;1.211;432.27
2021-03-09 14:47:15.818;Dn;1.214;431.1
2021-03-09 14:47:15.911;Dn;1.219;429.2
2021-03-09 14:47:16.071;Dn;1.227;426.13
2021-03-09 14:47:16.313;Dn;1.235;423
2021-03-09 14:47:16.537;Dn;1.243;419.93
2021-03-09 14:47:16.666;Dn;1.246;418.87
2021-03-09 14:47:16.798;Dn;1.252;416.83
2021-03-09 14:47:17.033;Dn;1.260;413.7
2021-03-09 14:47:17.232;Dn;1.268;410.67
2021-03-09 14:47:17.499;Dn;1.274;408.43
2021-03-09 14:47:17.520;Dn;1.276;407.57
2021-03-09 14:47:17.674;Dn;1.285;404.5
2021-03-09 14:47:17.914;Dn;1.293;401.43
2021-03-09 14:47:18.120;Dn;1.301;398.4
2021-03-09 14:47:18.320;Dn;1.304;397.1
2021-03-09 14:47:18.371;Dn;1.310;395.03
2021-03-09 14:47:18.605;Dn;1.318;392
2021-03-09 14:47:18.852;Dn;1.327;388.77
2021-03-09 14:47:19.098;Dn;1.334;385.97
2021-03-09 14:47:19.152;Dn;1.336;385.23
2021-03-09 14:47:19.307;Dn;1.344;382.17
2021-03-09 14:47:19.487;Dn;1.352;379.1
2021-03-09 14:47:19.708;Dn;1.360;376.07
2021-03-09 14:47:19.924;Dn;1.366;374.03
2021-03-09 14:47:19.964;Dn;1.369;373
2021-03-09 14:47:20.141;Dn;1.377;369.93
2021-03-09 14:47:20.393;Dn;1.385;366.8
2021-03-09 14:47:20.616;Dn;1.394;363.6
2021-03-09 14:47:20.713;Dn;1.396;362.83
2021-03-09 14:47:20.812;Dn;1.402;360.5
2021-03-09 14:47:21.033;Dn;1.410;357.43
2021-03-09 14:47:21.212;Dn;1.418;354.4
2021-03-09 14:47:21.449;Dn;1.427;351.23
2021-03-09 14:47:21.533;Dn;1.427;350.97
2021-03-09 14:47:22.233;Dn;1.442;345.47
2021-03-09 14:47:22.362;Dn;1.459;339.13
2021-03-09 14:47:22.394;Dn;1.465;337.03
2021-03-09 14:47:22.634;Dn;1.473;333.87
2021-03-09 14:47:22.864;Dn;1.482;330.5
2021-03-09 14:47:23.083;Dn;1.491;327.2
2021-03-09 14:47:23.182;Dn;1.491;327.1
2021-03-09 14:47:23.320;Dn;1.499;324.13
2021-03-09 14:47:23.518;Dn;1.507;321.07
2021-03-09 14:47:23.754;Dn;1.515;318.03
2021-03-09 14:47:23.930;Dn;1.521;315.83
2021-03-09 14:47:23.979;Dn;1.524;314.87
2021-03-09 14:47:24.184;Dn;1.532;311.8
2021-03-09 14:47:24.377;Dn;1.540;308.6
2021-03-09 14:47:24.617;Dn;1.549;305.27
2021-03-09 14:47:24.761;Dn;1.553;303.97
2021-03-09 14:47:24.847;Dn;1.557;302.2
2021-03-09 14:47:25.054;Dn;1.566;299.1
2021-03-09 14:47:25.274;Dn;1.574;296
2021-03-09 14:47:25.512;Dn;1.583;292.73
2021-03-09 14:47:25.579;Dn;1.584;292.23
2021-03-09 14:47:25.698;Dn;1.591;289.67
2021-03-09 14:47:25.928;Dn;1.600;286.4
2021-03-09 14:47:26.122;Dn;1.608;283.27
2021-03-09 14:47:26.424;Dn;1.617;280.07
2021-03-09 14:47:26.602;Dn;1.625;276.9
2021-03-09 14:47:26.761;Dn;1.633;273.8
2021-03-09 14:47:27.002;Dn;1.642;270.4
2021-03-09 14:47:27.192;Dn;1.649;267.8
2021-03-09 14:47:27.249;Dn;1.651;267.17
2021-03-09 14:47:27.389;Dn;1.659;264.03
2021-03-09 14:47:27.627;Dn;1.668;260.9
2021-03-09 14:47:27.801;Dn;1.676;257.87
2021-03-09 14:47:28.009;Dn;1.681;256
2021-03-09 14:47:28.059;Dn;1.685;254.43
2021-03-09 14:47:28.281;Dn;1.693;251.33
2021-03-09 14:47:28.447;Dn;1.701;248.27
2021-03-09 14:47:28.666;Dn;1.710;245
2021-03-09 14:47:28.825;Dn;1.714;243.7
